,0
0,1. Mont Saint Michel
1,2. St Malo
2,3. Bayeux
3,4. Le Havre
4,5. Rouen
5,6. Paris
6,7. Amiens
7,8. Lille
8,9. Strasbourg
9,10. Chateau du Haut Koenigsbourg
10,11. Colmar
11,12. Eguisheim
12,13. Besancon
13,14. Dijon
14,15. Annecy
15,16. Lyon
16,17. Grenoble
17,18. Verdon Gorge
18,19. Bormes les Mimosas
19,20. Cassis
20,21. Marseille
21,22. Aix en Provence
22,23. Avignon (my favorite!)
23,24. Uzès
24,25. Nimmes
25,26. Aigues Mortes
26,27. Saintes Maries de la Mer
27,28. Collioure
28,29. Carcassonne
29,30. Ariege
30,31. Toulouse
31,32. Montauban
32,33. Biarritz
33,34. Bayonne
34,35. La Rochelle
