,lat,lon
0,48.6359541,-1.511459954959514
1,48.649518,-2.0260409
2,49.2764624,-0.7024738
3,49.4938975,0.1079732
4,49.4404591,1.0939658
5,48.8588897,2.3200410217200766
6,49.8941708,2.2956951
7,50.6365654,3.0635282
8,48.584614,7.7507127
9,48.2495226,7.3454923
10,48.0777517,7.3579641
11,48.0447968,7.3079618
12,47.2380222,6.0243622
13,47.3215806,5.0414701
14,45.8992348,6.1288847
15,45.7578137,4.8320114
16,45.1875602,5.7357819
17,No data,No data
18,43.1572172,6.329253867921363
19,43.2140359,5.5396318
20,43.2961743,5.3699525
21,43.5298424,5.4474738
22,43.9492493,4.8059012
23,44.0121279,4.4196718
24,No data,No data
25,43.5658225,4.1912837
26,43.4522771,4.4287172
27,42.52505,3.0831554
28,43.2130358,2.3491069
29,No data,No data
30,43.6044622,1.4442469
31,44.0175835,1.3549991
32,43.4832523,-1.5592776
33,43.4933379,-1.475099
34,46.1591126,-1.1520434
